Algorithm : SSSP
Source : 0
Vertex Distance
0 0
1 2
2 5
3 10
4 2
5 1
6 7
7 8
8 6
9 7
10 12
11 11
12 8
13 8
14 10
15 9
16 13
17 9
18 9
19 14
20 11
21 6
22 16
23 17
24 16
25 13
26 14
27 17
28 9
29 18
30 14
31 11
32 17
33 19
34 10
35 13
36 15
37 21
38 11
39 13
40 10
41 18
42 17
43 17
44 21
45 12
46 15
47 24
48 20
49 15
50 9
51 20
52 14
53 22
54 18
55 8
56 18
57 19
58 14
59 16
60 20
61 24
62 17
63 24
64 17
65 18
66 22
67 22
68 12
69 15
70 19
71 15
72 20
73 14
74 24
75 30
76 18
77 21
78 16
79 24
80 16
81 11
82 24
83 23
84 8
85 21
86 21
87 20
88 27
89 7
90 27
91 15
92 17
93 16
94 18
95 25
96 35
97 29
98 23
99 INF
Execution Time : 0.041 ms
